person_id,site_id,pref
EHO0000000160MGJTX,ADK0000000416ICFPT,49
EHO0000000212MGJTX,ADK0000000416ICFPT,78
FIP0000000005NHKUY,ADK0000000416ICFPT,48
FIP0000000213NHKUY,ADK0000000416ICFPT,88
FIP0000000239NHKUY,ADK0000000416ICFPT,0
FIP0000000291NHKUY,ADK0000000416ICFPT,83
GJQ0000000110OILVZ,ADK0000000416ICFPT,72
GJQ0000000162OILVZ,ADK0000000416ICFPT,61
GJQ0000000188OILVZ,ADK0000000416ICFPT,3
GJQ0000000214OILVZ,ADK0000000416ICFPT,31
GJQ0000000318OILVZ,ADK0000000416ICFPT,53
HKR0000000033PJMWA,ADK0000000416ICFPT,31
HKR0000000163PJMWA,ADK0000000416ICFPT,33
HKR0000000189PJMWA,ADK0000000416ICFPT,79
HKR0000000241PJMWA,ADK0000000416ICFPT,25
HKR0000000293PJMWA,ADK0000000416ICFPT,6
ILS0000000008QKNXB,ADK0000000416ICFPT,82
ILS0000000060QKNXB,ADK0000000416ICFPT,30
ILS0000000164QKNXB,ADK0000000416ICFPT,81
ILS0000000320QKNXB,ADK0000000416ICFPT,85
JMT0000000009RLOYC,ADK0000000416ICFPT,67
JMT0000000035RLOYC,ADK0000000416ICFPT,91
JMT0000000139RLOYC,ADK0000000416ICFPT,81
JMT0000000217RLOYC,ADK0000000416ICFPT,9
JMT0000000243RLOYC,ADK0000000416ICFPT,30
JMT0000000269RLOYC,ADK0000000416ICFPT,27
JMT0000000295RLOYC,ADK0000000416ICFPT,76
JMT0000000321RLOYC,ADK0000000416ICFPT,9
KNU0000000036SMPZD,ADK0000000416ICFPT,39
KNU0000000088SMPZD,ADK0000000416ICFPT,48
KNU0000000114SMPZD,ADK0000000416ICFPT,71
KNU0000000140SMPZD,ADK0000000416ICFPT,12
KNU0000000192SMPZD,ADK0000000416ICFPT,33
KNU0000000244SMPZD,ADK0000000416ICFPT,99
KNU0000000270SMPZD,ADK0000000416ICFPT,99
LOV0000000037TNQAE,ADK0000000416ICFPT,52
LOV0000000063TNQAE,ADK0000000416ICFPT,69
LOV0000000089TNQAE,ADK0000000416ICFPT,35
LOV0000000141TNQAE,ADK0000000416ICFPT,93
LOV0000000167TNQAE,ADK0000000416ICFPT,45
LOV0000000297TNQAE,ADK0000000416ICFPT,50
LOV0000000323TNQAE,ADK0000000416ICFPT,100
MPW0000000012UORBF,ADK0000000416ICFPT,23
MPW0000000038UORBF,ADK0000000416ICFPT,100
MPW0000000142UORBF,ADK0000000416ICFPT,42
NQX0000000013VPSCG,ADK0000000416ICFPT,20
NQX0000000065VPSCG,ADK0000000416ICFPT,37
NQX0000000091VPSCG,ADK0000000416ICFPT,45
NQX0000000117VPSCG,ADK0000000416ICFPT,2
NQX0000000195VPSCG,ADK0000000416ICFPT,5
NQX0000000273VPSCG,ADK0000000416ICFPT,5
ORY0000000066WQTDH,ADK0000000416ICFPT,20
ORY0000000118WQTDH,ADK0000000416ICFPT,36
ORY0000000144WQTDH,ADK0000000416ICFPT,37
ORY0000000222WQTDH,ADK0000000416ICFPT,18
ORY0000000248WQTDH,ADK0000000416ICFPT,53
ORY0000000274WQTDH,ADK0000000416ICFPT,21
ORY0000000300WQTDH,ADK0000000416ICFPT,17
ORY0000000326WQTDH,ADK0000000416ICFPT,49
PSZ0000000015XRUEI,ADK0000000416ICFPT,39
PSZ0000000041XRUEI,ADK0000000416ICFPT,26
PSZ0000000093XRUEI,ADK0000000416ICFPT,50
PSZ0000000223XRUEI,ADK0000000416ICFPT,54
PSZ0000000249XRUEI,ADK0000000416ICFPT,59
PSZ0000000301XRUEI,ADK0000000416ICFPT,52
QTA0000000042YSVFJ,ADK0000000416ICFPT,89
QTA0000000068YSVFJ,ADK0000000416ICFPT,80
QTA0000000094YSVFJ,ADK0000000416ICFPT,56
QTA0000000120YSVFJ,ADK0000000416ICFPT,55
QTA0000000172YSVFJ,ADK0000000416ICFPT,9
QTA0000000302YSVFJ,ADK0000000416ICFPT,89
RUB0000000043ZTWGK,ADK0000000416ICFPT,0
RUB0000000069ZTWGK,ADK0000000416ICFPT,55
RUB0000000095ZTWGK,ADK0000000416ICFPT,38
RUB0000000121ZTWGK,ADK0000000416ICFPT,45
RUB0000000173ZTWGK,ADK0000000416ICFPT,34
RUB0000000225ZTWGK,ADK0000000416ICFPT,1
SVC0000000018AUXHL,ADK0000000416ICFPT,28
SVC0000000044AUXHL,ADK0000000416ICFPT,5
SVC0000000148AUXHL,ADK0000000416ICFPT,25
SVC0000000278AUXHL,ADK0000000416ICFPT,52
SVC0000000304AUXHL,ADK0000000416ICFPT,36
SVC0000000330AUXHL,ADK0000000416ICFPT,91
TWD0000000045BVYIM,ADK0000000416ICFPT,25
TWD0000000123BVYIM,ADK0000000416ICFPT,40
TWD0000000149BVYIM,ADK0000000416ICFPT,78
TWD0000000175BVYIM,ADK0000000416ICFPT,28
TWD0000000201BVYIM,ADK0000000416ICFPT,100
TWD0000000253BVYIM,ADK0000000416ICFPT,75
UXE0000000046CWZJN,ADK0000000416ICFPT,21
UXE0000000072CWZJN,ADK0000000416ICFPT,39
UXE0000000254CWZJN,ADK0000000416ICFPT,83
UXE0000000306CWZJN,ADK0000000416ICFPT,84
UXE0000000332CWZJN,ADK0000000416ICFPT,41
VYF0000000021DXAKO,ADK0000000416ICFPT,88
VYF0000000099DXAKO,ADK0000000416ICFPT,56
VYF0000000177DXAKO,ADK0000000416ICFPT,31
VYF0000000281DXAKO,ADK0000000416ICFPT,9
VYF0000000307DXAKO,ADK0000000416ICFPT,29
VYF0000000333DXAKO,ADK0000000416ICFPT,43
WZG0000000048EYBLP,ADK0000000416ICFPT,39
WZG0000000074EYBLP,ADK0000000416ICFPT,51
WZG0000000308EYBLP,ADK0000000416ICFPT,86
WZG0000000334EYBLP,ADK0000000416ICFPT,36
XAH0000000075FZCMQ,ADK0000000416ICFPT,88
XAH0000000153FZCMQ,ADK0000000416ICFPT,77
XAH0000000205FZCMQ,ADK0000000416ICFPT,53
XAH0000000257FZCMQ,ADK0000000416ICFPT,81
XAH0000000283FZCMQ,ADK0000000416ICFPT,73
YBI0000000050GADNR,ADK0000000416ICFPT,12
YBI0000000154GADNR,ADK0000000416ICFPT,49
YBI0000000180GADNR,ADK0000000416ICFPT,7
YBI0000000232GADNR,ADK0000000416ICFPT,92
YBI0000000258GADNR,ADK0000000416ICFPT,14
ZCJ0000000051HBEOS,ADK0000000416ICFPT,15
ZCJ0000000181HBEOS,ADK0000000416ICFPT,70
ZCJ0000000233HBEOS,ADK0000000416ICFPT,2
ADK0000000078ICFPT,ADK0000000442ICFPT,95
BEL0000000001JDGQU,ADK0000000442ICFPT,53
BEL0000000053JDGQU,ADK0000000442ICFPT,91
CFM0000000210KEHRV,ADK0000000442ICFPT,42
DGN0000000029LFISW,ADK0000000442ICFPT,45
DGN0000000133LFISW,ADK0000000442ICFPT,1
EHO0000000238MGJTX,ADK0000000442ICFPT,53
FIP0000000057NHKUY,ADK0000000442ICFPT,44
FIP0000000265NHKUY,ADK0000000442ICFPT,54
GJQ0000000032OILVZ,ADK0000000442ICFPT,0
GJQ0000000058OILVZ,ADK0000000442ICFPT,18
HKR0000000085PJMWA,ADK0000000442ICFPT,93
HKR0000000111PJMWA,ADK0000000442ICFPT,12
HKR0000000137PJMWA,ADK0000000442ICFPT,51
JMT0000000113RLOYC,ADK0000000442ICFPT,5
KNU0000000166SMPZD,ADK0000000442ICFPT,15
KNU0000000218SMPZD,ADK0000000442ICFPT,74
MPW0000000012UORBF,ADK0000000442ICFPT,84
MPW0000000168UORBF,ADK0000000442ICFPT,69
NQX0000000091VPSCG,ADK0000000442ICFPT,48
NQX0000000299VPSCG,ADK0000000442ICFPT,25
PSZ0000000223XRUEI,ADK0000000442ICFPT,5
QTA0000000016YSVFJ,ADK0000000442ICFPT,22
QTA0000000198YSVFJ,ADK0000000442ICFPT,99
RUB0000000147ZTWGK,ADK0000000442ICFPT,32
TWD0000000149BVYIM,ADK0000000442ICFPT,7
TWD0000000253BVYIM,ADK0000000442ICFPT,13
UXE0000000072CWZJN,ADK0000000442ICFPT,23
UXE0000000280CWZJN,ADK0000000442ICFPT,100
VYF0000000073DXAKO,ADK0000000442ICFPT,99
WZG0000000178EYBLP,ADK0000000442ICFPT,19
WZG0000000334EYBLP,ADK0000000442ICFPT,63
XAH0000000049FZCMQ,ADK0000000442ICFPT,100
XAH0000000127FZCMQ,ADK0000000442ICFPT,83
XAH0000000335FZCMQ,ADK0000000442ICFPT,33
YBI0000000024GADNR,ADK0000000442ICFPT,58
YBI0000000336GADNR,ADK0000000442ICFPT,52
ZCJ0000000207HBEOS,ADK0000000442ICFPT,29
BEL0000000261JDGQU,ADK0000000468ICFPT,64
EHO0000000342MGJTX,ADK0000000468ICFPT,8
GJQ0000000006OILVZ,ADK0000000468ICFPT,82
GJQ0000000058OILVZ,ADK0000000468ICFPT,9
GJQ0000000214OILVZ,ADK0000000468ICFPT,24
GJQ0000000344OILVZ,ADK0000000468ICFPT,59
HKR0000000215PJMWA,ADK0000000468ICFPT,7
ILS0000000008QKNXB,ADK0000000468ICFPT,81
ILS0000000190QKNXB,ADK0000000468ICFPT,29
JMT0000000113RLOYC,ADK0000000468ICFPT,53
KNU0000000036SMPZD,ADK0000000468ICFPT,61
KNU0000000062SMPZD,ADK0000000468ICFPT,20
MPW0000000246UORBF,ADK0000000468ICFPT,78
TWD0000000019BVYIM,ADK0000000468ICFPT,66
TWD0000000279BVYIM,ADK0000000468ICFPT,64
TWD0000000331BVYIM,ADK0000000468ICFPT,91
UXE0000000124CWZJN,ADK0000000468ICFPT,21
CFM0000000132KEHRV,ADK0000000494ICFPT,7
FIP0000000317NHKUY,ADK0000000494ICFPT,62
GJQ0000000240OILVZ,ADK0000000494ICFPT,27
HKR0000000345PJMWA,ADK0000000494ICFPT,38
ILS0000000086QKNXB,ADK0000000494ICFPT,8
MPW0000000324UORBF,ADK0000000494ICFPT,87
QTA0000000198YSVFJ,ADK0000000494ICFPT,45
TWD0000000175BVYIM,ADK0000000494ICFPT,10
TWD0000000331BVYIM,ADK0000000494ICFPT,41
VYF0000000073DXAKO,ADK0000000494ICFPT,37
VYF0000000229DXAKO,ADK0000000494ICFPT,33
XAH0000000283FZCMQ,ADK0000000494ICFPT,96
ZCJ0000000129HBEOS,ADK0000000494ICFPT,19
ADK0000000000ICFPT,ADK0000000520ICFPT,67
ADK0000000026ICFPT,ADK0000000520ICFPT,83
ADK0000000052ICFPT,ADK0000000520ICFPT,50
ADK0000000130ICFPT,ADK0000000520ICFPT,87
ADK0000000156ICFPT,ADK0000000520ICFPT,100
ADK0000000234ICFPT,ADK0000000520ICFPT,72
ADK0000000260ICFPT,ADK0000000520ICFPT,99
ADK0000000286ICFPT,ADK0000000520ICFPT,22
ADK0000000312ICFPT,ADK0000000520ICFPT,77
BEL0000000027JDGQU,ADK0000000520ICFPT,91
BEL0000000053JDGQU,ADK0000000520ICFPT,21
BEL0000000131JDGQU,ADK0000000520ICFPT,56
BEL0000000157JDGQU,ADK0000000520ICFPT,10
BEL0000000183JDGQU,ADK0000000520ICFPT,49
BEL0000000209JDGQU,ADK0000000520ICFPT,44
BEL0000000235JDGQU,ADK0000000520ICFPT,77
CFM0000000002KEHRV,ADK0000000520ICFPT,74
CFM0000000028KEHRV,ADK0000000520ICFPT,9
CFM0000000106KEHRV,ADK0000000520ICFPT,26
CFM0000000158KEHRV,ADK0000000520ICFPT,75
CFM0000000184KEHRV,ADK0000000520ICFPT,36
CFM0000000210KEHRV,ADK0000000520ICFPT,75
CFM0000000288KEHRV,ADK0000000520ICFPT,19
DGN0000000003LFISW,ADK0000000520ICFPT,34
DGN0000000029LFISW,ADK0000000520ICFPT,73
DGN0000000107LFISW,ADK0000000520ICFPT,63
DGN0000000133LFISW,ADK0000000520ICFPT,33
DGN0000000237LFISW,ADK0000000520ICFPT,8
DGN0000000263LFISW,ADK0000000520ICFPT,10
DGN0000000289LFISW,ADK0000000520ICFPT,54
DGN0000000315LFISW,ADK0000000520ICFPT,52
EHO0000000056MGJTX,ADK0000000520ICFPT,6
EHO0000000108MGJTX,ADK0000000520ICFPT,95
EHO0000000134MGJTX,ADK0000000520ICFPT,74
EHO0000000160MGJTX,ADK0000000520ICFPT,37
EHO0000000212MGJTX,ADK0000000520ICFPT,71
FIP0000000005NHKUY,ADK0000000520ICFPT,99
FIP0000000213NHKUY,ADK0000000520ICFPT,46
FIP0000000239NHKUY,ADK0000000520ICFPT,61
FIP0000000291NHKUY,ADK0000000520ICFPT,34
GJQ0000000110OILVZ,ADK0000000520ICFPT,38
GJQ0000000162OILVZ,ADK0000000520ICFPT,30
GJQ0000000188OILVZ,ADK0000000520ICFPT,50
GJQ0000000214OILVZ,ADK0000000520ICFPT,31
GJQ0000000318OILVZ,ADK0000000520ICFPT,92
HKR0000000033PJMWA,ADK0000000520ICFPT,56
HKR0000000163PJMWA,ADK0000000520ICFPT,93
HKR0000000189PJMWA,ADK0000000520ICFPT,80
HKR0000000241PJMWA,ADK0000000520ICFPT,70
HKR0000000293PJMWA,ADK0000000520ICFPT,71
ILS0000000008QKNXB,ADK0000000520ICFPT,9
ILS0000000060QKNXB,ADK0000000520ICFPT,83
ILS0000000164QKNXB,ADK0000000520ICFPT,14
ILS0000000320QKNXB,ADK0000000520ICFPT,49
JMT0000000009RLOYC,ADK0000000520ICFPT,80
JMT0000000035RLOYC,ADK0000000520ICFPT,42
JMT0000000139RLOYC,ADK0000000520ICFPT,28
JMT0000000217RLOYC,ADK0000000520ICFPT,62
JMT0000000243RLOYC,ADK0000000520ICFPT,58
JMT0000000269RLOYC,ADK0000000520ICFPT,56
JMT0000000295RLOYC,ADK0000000520ICFPT,57
JMT0000000321RLOYC,ADK0000000520ICFPT,26
KNU0000000036SMPZD,ADK0000000520ICFPT,51
KNU0000000088SMPZD,ADK0000000520ICFPT,72
KNU0000000114SMPZD,ADK0000000520ICFPT,46
KNU0000000140SMPZD,ADK0000000520ICFPT,28
KNU0000000192SMPZD,ADK0000000520ICFPT,4
KNU0000000244SMPZD,ADK0000000520ICFPT,98
KNU0000000270SMPZD,ADK0000000520ICFPT,40
LOV0000000037TNQAE,ADK0000000520ICFPT,52
LOV0000000063TNQAE,ADK0000000520ICFPT,33
LOV0000000089TNQAE,ADK0000000520ICFPT,64
LOV0000000141TNQAE,ADK0000000520ICFPT,56
LOV0000000167TNQAE,ADK0000000520ICFPT,91
LOV0000000297TNQAE,ADK0000000520ICFPT,81
LOV0000000323TNQAE,ADK0000000520ICFPT,84
MPW0000000012UORBF,ADK0000000520ICFPT,25
MPW0000000038UORBF,ADK0000000520ICFPT,58
MPW0000000142UORBF,ADK0000000520ICFPT,44
NQX0000000013VPSCG,ADK0000000520ICFPT,41
NQX0000000065VPSCG,ADK0000000520ICFPT,44
NQX0000000091VPSCG,ADK0000000520ICFPT,72
NQX0000000117VPSCG,ADK0000000520ICFPT,54
NQX0000000195VPSCG,ADK0000000520ICFPT,25
NQX0000000273VPSCG,ADK0000000520ICFPT,30
ORY0000000066WQTDH,ADK0000000520ICFPT,42
ORY0000000118WQTDH,ADK0000000520ICFPT,19
ORY0000000144WQTDH,ADK0000000520ICFPT,18
ORY0000000222WQTDH,ADK0000000520ICFPT,21
ORY0000000248WQTDH,ADK0000000520ICFPT,10
ORY0000000274WQTDH,ADK0000000520ICFPT,43
ORY0000000300WQTDH,ADK0000000520ICFPT,100
ORY0000000326WQTDH,ADK0000000520ICFPT,98
PSZ0000000015XRUEI,ADK0000000520ICFPT,73
PSZ0000000041XRUEI,ADK0000000520ICFPT,68
PSZ0000000093XRUEI,ADK0000000520ICFPT,75
PSZ0000000223XRUEI,ADK0000000520ICFPT,30
PSZ0000000249XRUEI,ADK0000000520ICFPT,45
PSZ0000000301XRUEI,ADK0000000520ICFPT,36
QTA0000000042YSVFJ,ADK0000000520ICFPT,66
QTA0000000068YSVFJ,ADK0000000520ICFPT,27
QTA0000000094YSVFJ,ADK0000000520ICFPT,77
QTA0000000120YSVFJ,ADK0000000520ICFPT,65
QTA0000000172YSVFJ,ADK0000000520ICFPT,38
QTA0000000302YSVFJ,ADK0000000520ICFPT,90
RUB0000000043ZTWGK,ADK0000000520ICFPT,94
RUB0000000069ZTWGK,ADK0000000520ICFPT,33
RUB0000000095ZTWGK,ADK0000000520ICFPT,29
RUB0000000121ZTWGK,ADK0000000520ICFPT,5
RUB0000000173ZTWGK,ADK0000000520ICFPT,88
RUB0000000225ZTWGK,ADK0000000520ICFPT,9
SVC0000000018AUXHL,ADK0000000520ICFPT,27
SVC0000000044AUXHL,ADK0000000520ICFPT,53
SVC0000000148AUXHL,ADK0000000520ICFPT,32
SVC0000000278AUXHL,ADK0000000520ICFPT,93
SVC0000000304AUXHL,ADK0000000520ICFPT,67
SVC0000000330AUXHL,ADK0000000520ICFPT,6
TWD0000000045BVYIM,ADK0000000520ICFPT,44
TWD0000000123BVYIM,ADK0000000520ICFPT,42
TWD0000000149BVYIM,ADK0000000520ICFPT,33
TWD0000000175BVYIM,ADK0000000520ICFPT,13
TWD0000000201BVYIM,ADK0000000520ICFPT,79
TWD0000000253BVYIM,ADK0000000520ICFPT,77
